,Action,Drama,Supernatural,Suspense,Adventure,Fantasy,Comedy,Romance,Horror,Sci-Fi,Ecchi,Mystery,Sports,Award Winning,Avant Garde,Slice of Life,Gourmet,Boys Love,Girls Love,Hentai,Erotica,Score
141,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.801
142,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.171
143,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.961
144,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.981
145,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.751
146,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.561
147,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.621
148,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.661
149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.031
150,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.841
151,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.761
152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8.021
153,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.291
154,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.071
155,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.581
156,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.221
157,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.591
158,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.181
159,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,7.831
160,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.101
161,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.851
162,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.911
163,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.461
164,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.951
165,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.381
166,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.491
167,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.161
168,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.361
169,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8.311
170,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.641
171,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8.001
172,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.341
173,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.551
174,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.671
175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.971
176,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.461
177,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.071
178,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8.561
179,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.911
180,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.361
181,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.311
182,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.561
183,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.611
184,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.071
185,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.211
186,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.321
187,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.521
188,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.931
189,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.231
190,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.761
191,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.911
192,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.231
193,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.401
194,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.781
195,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.081
196,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.031
197,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.741
198,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.251
199,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8.311
200,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.411
201,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8.671
202,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.181
